Plik	œrednia
c056f	1,49
a041f	1,68
a144f	1,81
c019f	2,05
a057f	2,42
c023f	2,55
c005f	2,82
a049f	2,83
a064f	2,99
c049f	3,04
a076f	3,21
c045f	3,40
c026f	3,60
c008f	3,84
c044f	4,12
c048f	4,16
a102f	4,43
a036f	4,71
a054f	4,74
a087f	4,84
a020f	5,12
c090f	5,40
a092f	5,57
c020f	5,71
a029f	5,74
a160f	5,95
c024f	6,04
a149f	6,74
a032f	6,79
a119f	6,79
a127f	6,89
a080f	6,99
a085f	7,00
a086f	7,00
a133f	7,17
a028f	7,19
a056f	7,62
a030f	7,62
a061f	7,69
a068f	7,92
a117f	7,98
a042f	8,07
a075f	8,12
a051f	8,17
a040f	8,21
a115f	8,52
a058f	9,00
a055f	9,06
a033f	9,25
a157f	9,26
